date	mois	an	lieu	rr	etp	tempm	tempn	tempx
02/11/2011	novembre	2011	ermitage	0	4.8	NA	18.5	30
03/11/2011	novembre	2011	ermitage	0	5	23.6	18	30.1
04/11/2011	novembre	2011	ermitage	0	2.6	22.8	18.6	29
05/11/2011	novembre	2011	ermitage	0	1.4	23	19.2	29
06/11/2011	novembre	2011	ermitage	0	3.4	23.7	19	31.1
07/11/2011	novembre	2011	ermitage	3.5	2.3	23.1	20.1	28.8
08/11/2011	novembre	2011	ermitage	15	3.4	23.9	19.4	30.7
09/11/2011	novembre	2011	ermitage	0	3.2	23.1	19.4	29.5
10/11/2011	novembre	2011	ermitage	0	4.1	23.8	19.8	29.9
14/11/2011	novembre	2011	ermitage	0	4.3	24.8	19.9	31.2
16/11/2011	novembre	2011	ermitage	0	4.3	NA	21.5	30.6
17/11/2011	novembre	2011	ermitage	0	3.1	24.7	20.7	30.2
18/11/2011	novembre	2011	ermitage	0.5	1.7	23.6	20.7	28.6
19/11/2011	novembre	2011	ermitage	0	2.2	23.1	19.2	28
20/11/2011	novembre	2011	ermitage	0	4	24.6	20	30.8
21/11/2011	novembre	2011	ermitage	0	3	24.4	21.7	28.2
22/11/2011	novembre	2011	ermitage	13.5	3.7	24.8	21	31.7
23/11/2011	novembre	2011	ermitage	1.5	4.5	24.6	20.5	31.3
24/11/2011	novembre	2011	ermitage	3	3.1	22.9	20.5	31.5
25/11/2011	novembre	2011	ermitage	0	5.3	25.2	21.4	31.8
26/11/2011	novembre	2011	ermitage	0	3.8	25	21	31
27/11/2011	novembre	2011	ermitage	0	3.2	24.6	20.6	29.2
28/11/2011	novembre	2011	ermitage	0	3.8	24.8	20.4	30.8
29/11/2011	novembre	2011	ermitage	0	3	24.5	20.7	29.2
30/11/2011	novembre	2011	ermitage	0	4.6	26	22.8	32.8
01/12/2011	décembre	2011	ermitage	0	3.8	24.9	21.7	31.3
02/12/2011	décembre	2011	ermitage	0	2.7	24.1	19.9	29.8
03/12/2011	décembre	2011	ermitage	0	5.3	24.8	20.2	31.9
04/12/2011	décembre	2011	ermitage	0	5.9	NA	20	31.5
05/12/2011	décembre	2011	ermitage	0	2.3	23.9	20.2	28.9
06/12/2011	décembre	2011	ermitage	0	2.9	24.2	20.8	29.9
08/12/2011	décembre	2011	ermitage	0	4.5	25.1	19.9	30
09/12/2011	décembre	2011	ermitage	0	5.1	25.4	21.1	31
10/12/2011	décembre	2011	ermitage	5.5	3.5	24.1	21.4	30.2
11/12/2011	décembre	2011	ermitage	0	3.6	25	20.8	31.8
12/12/2011	décembre	2011	ermitage	0	5.5	25.6	20	32
13/12/2011	décembre	2011	ermitage	0	4	25.9	21.3	32.2
15/12/2011	décembre	2011	ermitage	0	3	25.5	21.8	32.6
16/12/2011	décembre	2011	ermitage	0	5.2	24.9	21	30.7
17/12/2011	décembre	2011	ermitage	0	4.8	24.9	20	31.6
18/12/2011	décembre	2011	ermitage	0	4.5	25.8	21.1	32.3
19/12/2011	décembre	2011	ermitage	51	3.4	25.9	20.7	31.3
20/12/2011	décembre	2011	ermitage	0	3.6	25.6	20.3	30.8
21/12/2011	décembre	2011	ermitage	0	4.5	26.9	22.2	32.7
