Date	Piege	Nbad	Bourgeons	FlorC	FlorD	FlorE	FlorF	FlorG	VegC	VegD	VegE	VegF	VegG
19/09/2011	B2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
22/09/2011	B2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
22/09/2011	A2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
22/09/2011	B3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
22/09/2011	A3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
22/09/2011	C2	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
22/09/2011	A1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
22/09/2011	B1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
22/09/2011	C1	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26/09/2011	A2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26/09/2011	B2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26/09/2011	B3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26/09/2011	A3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26/09/2011	C3	38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26/09/2011	C2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26/09/2011	A1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26/09/2011	B1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26/09/2011	C1	53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
03/10/2011	A2	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
03/10/2011	B2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
03/10/2011	B3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
03/10/2011	A3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
03/10/2011	C3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
03/10/2011	A1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
03/10/2011	C2	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
03/10/2011	B1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
03/10/2011	C1	46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
06/10/2011	A2	0	NA	NA	NA	NA	NA	25	NA	NA	NA	NA	NA
06/10/2011	B2	0	NA	NA	NA	NA	NA	NA	25	NA	NA	NA	NA
06/10/2011	B3	0	NA	NA	20	NA	NA	30	NA	40	NA	NA	NA
06/10/2011	A3	0	NA	NA	4	NA	3	20	NA	NA	NA	NA	NA
06/10/2011	C3	3	NA	NA	NA	NA	NA	150	NA	NA	NA	NA	NA
06/10/2011	A1	0	NA	NA	NA	5	4	35	NA	NA	NA	NA	NA
06/10/2011	C2	0	NA	NA	NA	NA	NA	35	NA	NA	NA	NA	NA
06/10/2011	B1	0	NA	NA	NA	15	40	1	NA	NA	NA	NA	NA
06/10/2011	C1	0	NA	NA	10	NA	30	30	NA	NA	NA	NA	NA
