Bloc;Traitm;Arbre;Code.arbre;UC;Annee;Position;Orientation;UCmort;BGterm;Nbinflo;NbUCfille;NbFruit;ApNAture;ApdateC;Apmort;ApdateM;Lat1NAture;Lat1dateC;Lat1mort;Lat1dateM;Lat2NAture;Lat2dateC;Lat2mort;Lat2dateM;Lat3NAture;Lat3dateC;Lat3mort;Lat3dateM;Lat4NAture;Lat4dateC;Lat4mort;Lat4dateM;Lat5NAture;Lat5dateC;Lat5mort;Lat5dateM;Lat6NAture;Lat6dateC;Lat6mort;Lat6dateM;Lat7NAture;Lat7dateC;Lat7mort;Lat7dateM;Lat8NAture;Lat8dateC;Lat8mort;Lat8dateM;Lat9NAture;Lat9dateC;Lat9mort;Lat9dateM
1;B;30;1-B-30;122;2017;L;S;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;30;1-B-30;123;2017;L;E;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;30;1-B-30;124;2017;L;E;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;30;1-B-30;125;2017;A;N;0;1;0;3;0;V;08/09/2018;;;V;11/09/2018;;;V;11/09/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;30;1-B-30;126;2017;A;N;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;30;1-B-30;127;2017;L;O;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;30;1-B-30;128;2017;L;O;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;31;1-B-31;129;2017;A;O;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;31;1-B-31;130;2017;A;O;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;31;1-B-31;131;2017;A;NE;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;31;1-B-31;132;2017;A;SE;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;31;1-B-31;133;2017;A;S;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;31;1-B-31;134;2017;L;S;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;31;1-B-31;135;2017;A;N;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;31;1-B-31;136;2017;A;NO;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;32;1-B-32;137;2017;A;O;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;32;1-B-32;138;2017;L;S;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;32;1-B-32;139;2017;A;S;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;32;1-B-32;140;2017;A;O;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;32;1-B-32;141;2017;L;N;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;32;1-B-32;142;2017;A;NE;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;32;1-B-32;143;2017;L;NO;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;32;1-B-32;144;2017;L;N;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;33;1-B-33;145;2017;L;NO;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;33;1-B-33;146;2017;A;SO;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;33;1-B-33;147;2017;L;S;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;33;1-B-33;148;2017;L;S;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;B;33;1-B-33;149;2017;A;N;0;1;2;0;0;F;03/08/2018;;26/09/2018;F;NA;06-sept;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
