Date;Arbre;Piege;NbInfloPiege;NbLarves;Observations
17/08/2018;23ER;A;3;3;
17/08/2018;23ER;B;1;0;
17/08/2018;24ER;A;3;5;
17/08/2018;24ER;B;4;2;
17/08/2018;25ER;A;5;7;
17/08/2018;25ER;B;2;7;
17/08/2018;34ER;A;0;0;
17/08/2018;34ER;B;0;0;
17/08/2018;39ER;A;4;2;
17/08/2018;39ER;B;4;2;Déplacé
17/08/2018;8PS;A;3;0;
17/08/2018;8PS;B;3;0;
17/08/2018;10PS;A;6;0;
17/08/2018;10PS;B;4;4;
17/08/2018;11PS;A;4;1;
17/08/2018;11PS;B;4;0;
17/08/2018;15PS;A;6;0;
17/08/2018;15PS;B;0;0;
17/08/2018;22PS;A;1;2;Déplacé
17/08/2018;22PS;B;3;1;
17/08/2018;23PS;A;0;1;Déplacé
17/08/2018;23PS;B;3;0;
17/08/2018;24PS;A;2;0;Déplacé
17/08/2018;24PS;B;2;0;
17/08/2018;30PS;A;3;1;
17/08/2018;30PS;B;1;0;Déplacé
17/08/2018;33PS;A;4;0;
17/08/2018;33PS;B;4;0;
17/08/2018;36PS;A;2;2;
17/08/2018;36PS;B;0;0;Déplacé
17/08/2018;12EH;A;3;0;
17/08/2018;12EH;B;2;0;
17/08/2018;22EH;A;2;4;
17/08/2018;22EH;B;1;0;
17/08/2018;23EH;A;0;0;Déplacé
17/08/2018;23EH;B;3;0;
17/08/2018;24EH;A;1;2;
17/08/2018;24EH;B;0;0;
17/08/2018;34EH;A;0;0;Déplacé
17/08/2018;34EH;B;0;0;
17/08/2018;35EH;A;2;0;
17/08/2018;35EH;B;2;0;Déplacé
17/08/2018;38EH;A;2;0;Déplacé
17/08/2018;38EH;B;3;1;
17/08/2018;41EH;A;3;0;
17/08/2018;41EH;B;5;1;
17/08/2018;45EH;A;2;0;Déplacé
17/08/2018;45EH;B;2;7;
17/08/2018;47EH;A;0;0;Déplacé
17/08/2018;47EH;B;3;1;
21/08/2018;9ER;A;6;0;
21/08/2018;9ER;B;5;4;
21/08/2018;11ER;A;6;2;
21/08/2018;11ER;B;3;3;
21/08/2018;13ER;A;4;0;
21/08/2018;13ER;B;4;1;
21/08/2018;16ER;A;4;0;
21/08/2018;16ER;B;4;1;
21/08/2018;20ER;A;4;2;
21/08/2018;20ER;B;3;2;
21/08/2018;23ER;A;3;1;
21/08/2018;23ER;B;2;0;
21/08/2018;24ER;A;7;10;
21/08/2018;24ER;B;4;2;
21/08/2018;25ER;A;5;3;
21/08/2018;25ER;B;3;10;
21/08/2018;34ER;A;0;0;
21/08/2018;34ER;B;0;0;
21/08/2018;39ER;A;4;1;
21/08/2018;39ER;B;5;0;
21/08/2018;8PS;A;3;0;
21/08/2018;8PS;B;4;0;
21/08/2018;10PS;A;7;1;
21/08/2018;10PS;B;4;2;
21/08/2018;11PS;A;3;3;
21/08/2018;11PS;B;5;0;
21/08/2018;15PS;A;5;3;
21/08/2018;15PS;B;0;0;Déplacé
21/08/2018;22PS;A;4;3;
21/08/2018;22PS;B;2;0;
21/08/2018;23PS;A;3;0;
21/08/2018;23PS;B;4;1;
21/08/2018;24PS;A;0;0;Déplacé
21/08/2018;24PS;B;3;0;
21/08/2018;30PS;A;3;1;
21/08/2018;30PS;B;3;0;
21/08/2018;33PS;A;4;7;
21/08/2018;33PS;B;4;0;
21/08/2018;36PS;A;2;0;
21/08/2018;36PS;B;3;1;
21/08/2018;12EH;A;3;0;
21/08/2018;12EH;B;3;1;
21/08/2018;22EH;A;2;2;
21/08/2018;22EH;B;2;1;
21/08/2018;23EH;A;3;0;
21/08/2018;23EH;B;4;1;
21/08/2018;24EH;A;2;0;
21/08/2018;24EH;B;0;0;Déplacé
21/08/2018;34EH;A;4;0;
21/08/2018;34EH;B;2;1;
21/08/2018;35EH;A;2;0;
21/08/2018;35EH;B;4;0;
21/08/2018;38EH;A;5;0;
21/08/2018;38EH;B;5;1;
